GeoID,County,Year,Number of establishments,"Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,% Black,% Female,% Hispanic,% Veteran
48451,"Tom Green County, Texas",2022.0,2903.0,1968000.0,452228.0,41045.0,0.0,12.7272727272727,0.0,0.0
48453,"Travis County, Texas",2022.0,41596.0,59348551.0,14608947.0,697945.0,1.95385637494715,24.0713897445189,9.76022226248716,4.77743552575949
48455,"Trinity County, Texas",2022.0,196.0,67350.0,15025.0,1911.0,0.0,0.0,0.0,0.0
48457,"Tyler County, Texas",2022.0,264.0,91693.0,21728.0,2428.0,,3.10077519379845,0.0,0.0
48459,"Upshur County, Texas",2022.0,555.0,250567.0,56929.0,5793.0,0.0,0.0,0.0,0.0
48461,"Upton County, Texas",2022.0,95.0,106511.0,25652.0,1277.0,0.0,0.0,0.0,0.0
48463,"Uvalde County, Texas",2022.0,619.0,308633.0,69649.0,7026.0,0.0,0.0,0.0,5.46318289786223
48465,"Val Verde County, Texas",2022.0,791.0,409117.0,95407.0,11507.0,0.0,0.0,0.0,0.0
48467,"Van Zandt County, Texas",2022.0,1010.0,421404.0,95761.0,9346.0,0.418994413407821,0.0,3.91061452513966,0.0
48469,"Victoria County, Texas",2022.0,2270.0,1549777.0,369327.0,31319.0,0.0,15.3271848924022,0.0,0.0
48471,"Walker County, Texas",2022.0,1080.0,500414.0,119753.0,13265.0,0.43103448275862,0.0,0.0,0.538793103448275
48473,"Waller County, Texas",2022.0,1048.0,910047.0,195650.0,16968.0,0.0,17.5980975029726,0.0,0.713436385255648
48475,"Ward County, Texas",2022.0,327.0,314632.0,70301.0,4284.0,0.0,0.0,0.0,0.0
48477,"Washington County, Texas",2022.0,1008.0,604809.0,143351.0,13271.0,0.0,20.2099737532808,0.0,3.54330708661417
48479,"Webb County, Texas",2022.0,5838.0,2884733.0,656057.0,79662.0,0.0,19.4909993792675,64.0802813987171,0.0
48481,"Wharton County, Texas",2022.0,1006.0,502716.0,121942.0,11131.0,0.0,0.0,0.0,0.0
